date,msci_world,return,cumulative_return,year
1979-12-31,10690.898083358965,0.0690898083358964,0.0690898083358964,0
1980-12-31,14852.777656733124,0.38929185751498085,0.48527776567331227,1
1981-12-31,16876.439053870592,0.13624800989464037,0.6876439053870591,2
1982-12-31,21023.74673104958,0.245745424371844,1.1023746731049582,3
1983-12-31,29738.385513379875,0.4145140680114743,1.973838551337988,4
1984-12-31,35609.46600893423,0.19742431857683873,2.5609466008934234,5
1985-12-31,41237.076489579886,0.15803692420531434,3.123707648957989,6
1986-12-31,48918.98842075373,0.18628653108119764,3.891898842075374,7
1987-12-31,46897.08825092531,-0.041331602208083185,3.6897088250925325,8
1988-12-31,61772.09104022392,0.3171839306890254,5.177209104022393,9
1989-12-31,73105.46300158801,0.18347075144314262,6.310546300158803,10
1990-12-31,51690.661555202656,-0.29293024853587446,4.169066155520268,11
1991-12-31,64385.65318801702,0.24559545672010485,5.438565318801705,12
1992-12-31,64147.67490780602,-0.003696138323176834,5.414767490780604,13
1993-12-31,86136.48090141875,0.34278414650593914,7.6136480901418775,14
1994-12-31,84246.46810984582,-0.021942071138661978,7.424646810984585,15
1995-12-31,96687.24930833216,0.1476712493426462,8.66872493083322,16
1996-12-31,112633.65152876382,0.16492766455253216,10.263365152876386,17
1997-12-31,145703.51622969736,0.29360554551930096,13.570351622969742,18
1998-12-31,171348.44221891378,0.17600759853171932,16.134844221891385,19
1999-12-31,250512.9941823113,0.46200917229383,24.05129941823114,20
2000-12-31,234819.9984987017,-0.06264343985361887,22.481999849870178,21
2001-12-31,206217.79621333536,-0.12180479715625447,19.62177962133354,22
2002-12-31,138837.42258378377,-0.3267437382554782,12.88374225837838,23
2003-12-31,153445.46800453623,0.10521691593588178,14.344546800453628,24
2004-12-31,163226.59221661455,0.06374332418725559,15.32265922166146,25
2005-12-31,206340.89233732971,0.2641377212819531,19.634089233732976,26
2006-12-31,221917.35707023775,0.07548898600013487,21.191735707023778,27
2007-12-31,216474.7392212931,-0.024525426585817023,20.64747392212931,28
2008-12-31,135756.74134553608,-0.37287490524814715,12.575674134553608,29
2009-12-31,170477.80059489416,0.25575937449016983,16.047780059489416,30
2010-12-31,205418.2359669321,0.20495592534694174,19.54182359669321,31
2011-12-31,200380.8342500801,-0.024522660771280735,19.03808342500801,32
2012-12-31,227607.36330765035,0.1358739180793651,21.760736330765035,33
2013-12-31,275843.8285916278,0.21192840417371572,26.584382859162783,34
2014-12-31,328800.51832220104,0.19198069429703568,31.880051832220104,35
2015-12-31,363478.2643024697,0.10546743100412903,35.34782643024696,36
2016-12-31,403604.24512705766,0.11039444380970465,39.360424512705755,37
2017-12-31,434202.4777412793,0.07581246476877146,42.42024777412792,38
2018-12-31,415174.55792518426,-0.04382268824231095,40.51745579251842,39
2019-12-31,540245.1776247153,0.3012482757242294,53.02451776247151,40
2020-12-31,573242.1670965339,0.06107780474209101,56.32421670965337,41
2021-12-31,756571.9801449956,0.3198121554403881,74.65719801449953,42
2022-12-31,657640.5600279866,-0.13076273337277033,64.76405600279864,43
2023-12-31,785784.4342333137,0.19485397038144003,77.57844342333134,44
2024-12-31,991827.676110626,0.26221344289970294,98.18276761106256,45
2025-12-31,1026432.723147118,0.03489018089532747,101.64327231471175,46
