date,sp500,return,cumulative_return,year
1993-12-31,11917.213202430416,0.10078693783927273,0.10078693783927273,0
1994-12-31,12074.577749999477,0.01320481096511461,0.11532262126630766,1
1995-12-31,16611.93269168252,0.3757775249476727,0.5344357954039112,2
1996-12-31,20426.077673446016,0.22960272308791696,0.886746432432223,3
1997-12-31,27240.887516752624,0.33363281743346596,1.516226960467126,4
1998-12-31,35025.95476844152,0.285786109094325,2.2353296730972656,5
1999-12-31,42395.95546056868,0.21041541168115563,2.9160928981862853,6
2000-12-31,38536.06716569734,-0.0910437859682467,2.5595569745320423,7
2001-12-31,33955.737419540215,-0.11885825625284052,2.1364742395065273,8
2002-12-31,26451.33821737407,-0.22100533731444316,1.4432966922263257,9
2003-12-31,34038.79267855308,0.2868457693454365,2.1441460116471465,10
2004-12-31,37742.91041567479,0.10882047938955175,2.486293487905336,11
2005-12-31,39596.825443433285,0.04911955668867951,2.6575386785178763,12
2006-12-31,45850.84450000105,0.15794243570111566,3.2352192460740294,13
2007-12-31,48369.8727534706,0.05493962610589409,3.467900607929823,14
2008-12-31,30474.065156431232,-0.36997838899122015,1.814873938835054,15
2009-12-31,38538.89859498187,0.2646458028212437,2.5598185122186536,16
2010-12-31,44344.16757027712,0.15063401360544204,3.0960482624211023,17
2011-12-31,45280.63658919736,0.02111820043608037,3.18254943062277,18
2012-12-31,52526.99820256674,0.16003223804274325,3.8518921767297334,19
2013-12-31,69539.69349253656,0.3238847806296019,5.423346210028325,20
2014-12-31,79058.53927611889,0.13688363157085148,6.302597166093867,21
2015-12-31,80152.51965745998,0.01383759921898231,6.40364757893595,22
2016-12-31,89738.69053736333,0.11959912078710477,7.289117319994267,23
2017-12-31,109330.08383128035,0.21831601482707175,9.098764379729472,24
2018-12-31,104536.78865582614,-0.04384241745255857,8.656010136038343,25
2019-12-31,137451.62974972263,0.31486370986834467,11.696337309997716,26
2020-12-31,162741.11717712792,0.18398826898926823,14.032314434168057,27
2021-12-31,209456.55433932267,0.2870536836204063,18.347395665836203,28
2022-12-31,171522.11346271218,-0.18110887480348858,14.843410606418717,29
2023-12-31,216611.26153807432,0.2628765887097364,19.008272340161724,30
2024-12-31,270806.7056634878,0.25019679835938446,24.014278020372817,31
2025-12-31,278347.9553934533,0.027847352271019865,24.710859432211368,32
